,Potential_Customer,Cust_Last_Purchase,Pur_3_years,Pur_5_years,Pur_3_years_Indirect,Pur_5_years_Indirect,Pur_latest,Pur_3_years_Avg,Pur_5_years_Avg,Pur_3_years_Avg_Indirect,InAct_Last,InAct_First,Ad_Res_1_year,Ad_Res_3_Year,Ad_Res_5_Year,Ad_Res_Ind_1_Year,Ad_Res_Ind_3_Year,Ad_Res_Ind_5_Year,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income,Status_CustN,Ad_Res_Total,Ad_Res_Ind_Total,Pur_Total
863,0,14.56,4,5,3,3,13.0,11.0,12.2,10.33,18,33,12,28,28,6,15,13,S,1,55.0,M,U,53432.0,S,68,34,22.0
864,1,25.0,1,1,1,1,15.0,15.0,15.0,15.0,21,21,8,15,14,3,6,5,N,0,52.0,M,U,53432.0,Others,37,14,17.0
865,1,15.0,3,12,2,7,15.0,9.0,6.0,6.0,17,81,15,36,60,6,16,23,A,1,76.0,M,H,35833.0,A,111,45,30.0
866,1,32.0,2,7,1,5,25.0,22.5,15.29,25.0,20,78,13,31,52,6,13,20,S,1,55.0,M,U,44284.5,S,96,39,34.0
867,0,14.56,2,4,2,3,15.0,15.0,16.25,15.0,22,49,8,25,36,3,11,13,A,0,67.0,M,U,35833.0,A,69,27,21.0
868,0,14.56,2,2,2,2,15.0,15.0,15.0,15.0,16,29,12,26,24,4,10,9,A,0,65.0,M,U,30715.0,A,62,23,19.0
869,1,18.0,3,8,2,5,17.0,15.67,13.38,16.5,16,52,14,34,46,6,15,18,S,1,37.0,M,H,70172.0,S,94,39,28.0
870,1,30.0,2,2,1,1,25.0,14.0,14.0,3.0,18,29,13,21,18,6,10,8,A,0,63.0,M,H,27206.0,A,52,24,29.0
871,0,14.56,1,1,1,1,20.0,20.0,20.0,20.0,19,19,12,17,14,4,6,5,F,0,57.0,M,H,21517.0,Others,43,15,22.0
872,0,14.56,3,3,2,2,25.0,15.67,15.67,17.5,16,35,13,31,29,6,15,13,A,0,52.0,M,U,44284.5,A,73,34,31.0
873,1,11.0,3,19,2,12,10.0,10.67,10.68,11.0,17,124,16,35,84,8,18,34,S,1,52.0,F,U,44284.5,S,135,60,32.0
874,0,14.56,6,6,4,4,6.0,6.0,6.0,6.25,15,33,14,31,29,6,14,12,A,1,52.0,F,H,36457.0,A,74,32,18.0
875,1,15.0,2,9,1,7,15.0,12.5,12.22,10.0,26,128,10,28,64,4,12,30,A,1,69.0,M,H,35498.0,A,102,46,26.0
876,1,20.0,4,6,2,3,20.0,12.5,10.5,15.0,17,45,13,34,40,6,16,16,A,0,37.0,M,H,35498.0,A,87,38,30.0
877,1,5.0,7,18,6,13,3.0,3.29,4.22,3.0,16,93,13,35,67,6,17,26,S,1,61.0,F,U,44284.5,S,115,49,28.0
878,1,10.0,6,91,4,13,10.0,11.67,6.1,12.5,5,230,39,58,135,9,20,37,S,1,79.0,M,H,107323.0,S,232,66,107.0
879,0,14.56,3,21,1,10,5.0,5.67,5.24,5.0,19,122,6,24,70,2,10,27,S,1,47.0,F,H,107323.0,S,100,39,29.0
880,0,14.56,1,4,0,1,20.0,20.0,16.5,13.582127875507437,18,86,10,22,44,4,4,18,A,0,45.0,M,H,24744.0,A,76,26,25.0
881,0,14.56,2,9,1,5,25.0,25.0,16.33,25.0,21,76,13,33,61,6,16,23,A,1,83.0,F,H,56735.0,A,107,45,36.0
882,1,10.0,5,12,5,7,10.0,10.0,7.58,10.0,22,56,13,35,49,6,17,20,A,1,48.0,F,U,47702.0,A,97,43,27.0
883,0,14.56,1,1,1,1,20.0,20.0,20.0,20.0,16,16,12,17,14,5,7,6,F,0,66.0,M,H,107958.0,Others,43,18,22.0
884,1,3.0,2,4,2,3,15.0,13.0,10.0,13.0,24,50,11,26,38,5,11,14,A,0,52.0,F,U,44284.5,A,75,30,21.0
885,1,10.0,2,2,2,2,10.0,12.5,12.5,12.5,16,21,13,21,18,6,10,8,N,0,39.0,M,U,52780.0,Others,52,24,14.0
886,0,14.56,2,29,1,14,10.0,10.0,7.9,10.0,18,123,14,34,78,5,14,30,A,1,80.0,F,H,52780.0,A,126,49,41.0
887,0,14.56,2,2,2,2,20.0,17.0,17.0,17.0,22,29,10,23,22,4,10,9,A,0,58.0,M,H,52780.0,A,55,23,24.0
888,0,14.56,1,1,1,1,15.0,15.0,15.0,15.0,17,17,10,15,13,4,6,5,F,0,70.0,M,H,52780.0,Others,38,15,17.0
889,1,3.0,7,20,5,9,3.0,3.86,4.1,3.8,15,79,10,29,52,4,13,22,S,1,70.0,F,H,42523.0,S,91,39,30.0
890,1,3.0,12,44,6,21,2.0,3.25,2.8,3.0,15,113,11,30,71,5,16,30,S,1,17.0,F,H,42523.0,S,112,51,58.0
891,1,7.0,5,18,3,13,10.0,5.6,4.72,5.0,18,128,13,33,68,6,17,30,S,1,84.0,M,H,42523.0,S,114,53,33.0
892,0,14.56,3,23,2,12,10.0,11.0,10.7,10.5,17,126,13,30,75,6,14,30,S,1,46.0,F,H,34939.0,S,118,50,36.0
893,0,14.56,4,4,2,2,20.0,15.5,15.5,15.0,18,31,12,27,24,6,13,11,A,0,69.0,M,H,34939.0,A,63,30,28.0
894,0,14.56,5,10,2,5,12.0,10.4,8.9,10.0,19,57,14,36,50,6,17,21,S,1,76.0,M,H,46722.0,S,100,44,27.0
895,0,14.56,1,10,0,0,15.0,15.0,11.0,13.582127875507437,25,94,10,30,61,5,5,23,A,0,52.0,F,U,48522.0,A,101,33,26.0
896,0,14.56,6,13,2,6,20.0,17.17,14.0,20.0,18,119,14,36,67,6,17,30,A,1,83.0,F,U,48522.0,A,117,53,39.0
897,0,14.56,1,8,1,4,20.0,20.0,13.5,20.0,17,104,13,32,66,6,15,27,A,0,49.0,F,H,33250.0,A,111,48,29.0
898,1,10.0,0,1,0,0,15.0,0.0,15.0,13.582127875507437,23,23,5,5,10,2,2,4,N,0,75.0,F,H,32042.0,Others,20,8,16.0
899,0,14.56,4,4,3,3,9.0,8.0,8.0,9.67,16,28,13,24,25,5,10,9,A,1,41.0,F,H,32042.0,A,62,24,17.0
900,0,14.56,2,7,0,4,15.0,14.5,9.43,13.582127875507437,18,114,13,29,59,6,6,27,A,0,62.0,F,U,44284.5,A,101,39,24.0
901,0,14.56,2,2,2,2,40.0,25.0,25.0,25.0,17,28,13,27,24,6,13,11,A,0,45.0,F,H,32042.0,A,64,30,44.0
902,1,16.0,4,20,4,12,17.0,15.5,10.7,15.5,21,113,14,35,83,6,17,31,S,1,48.0,M,H,29808.0,S,132,54,41.0
903,1,11.0,4,15,1,9,11.0,10.5,10.4,11.0,18,93,14,35,70,6,17,26,A,1,86.0,M,H,36169.0,A,119,49,30.0
904,1,10.0,3,23,2,13,10.0,8.33,7.26,7.5,15,128,12,31,77,5,13,30,S,1,49.0,F,H,37016.0,S,120,48,36.0
905,1,20.0,2,2,0,0,20.0,20.0,20.0,13.582127875507437,18,32,10,24,22,4,4,9,A,0,63.0,F,H,52147.0,A,56,17,24.0
906,0,14.56,3,4,1,1,10.0,7.67,6.75,3.0,19,29,13,26,24,6,12,10,A,0,27.0,F,U,44284.5,A,63,28,17.0
907,0,14.56,1,1,1,1,20.0,20.0,20.0,20.0,16,16,11,16,13,5,7,6,F,0,51.0,M,H,62830.0,Others,40,18,22.0
908,0,14.56,2,2,2,2,25.0,17.5,17.5,17.5,17,28,13,25,23,6,13,11,A,0,73.0,M,U,44284.5,A,61,30,29.0
909,1,15.0,3,27,3,13,10.0,10.0,8.3,10.0,6,123,29,49,101,6,16,35,A,1,83.0,F,H,62830.0,A,179,57,40.0
910,0,14.56,2,5,0,1,24.0,23.0,15.2,13.582127875507437,18,78,13,34,48,6,6,20,A,0,52.0,F,U,62830.0,A,95,32,31.0
911,1,2.0,5,17,3,12,2.0,4.0,3.12,4.33,17,88,12,28,56,5,12,21,S,1,51.0,F,H,41607.0,S,96,38,24.0
912,1,3.0,7,12,5,6,3.0,3.14,2.92,3.2,17,41,26,43,51,6,15,16,A,1,68.0,M,H,41607.0,A,120,37,22.0
913,1,13.0,5,10,3,5,8.0,6.6,5.5,6.67,19,44,12,31,38,6,16,16,S,1,65.0,F,U,62781.0,S,81,38,23.0
914,0,14.56,3,4,1,1,15.0,7.67,8.25,5.0,17,36,13,34,33,6,16,14,A,0,52.0,F,U,62781.0,A,80,36,22.0
915,0,14.56,2,3,1,1,10.0,9.0,9.33,8.0,15,17,11,15,14,5,7,6,N,0,52.0,M,U,44284.5,Others,40,18,15.0
916,0,14.56,4,12,2,6,10.0,9.5,6.08,9.0,16,127,12,29,68,5,12,27,A,0,55.0,M,H,39314.0,A,109,44,26.0
917,1,10.0,1,11,0,7,20.0,20.0,14.82,13.582127875507437,26,113,10,31,68,5,5,27,A,1,61.0,M,H,46777.0,A,109,37,32.0
918,1,10.0,2,28,1,14,13.0,13.0,12.42,13.0,20,113,12,33,82,5,15,29,A,1,47.0,M,U,44284.5,A,127,49,43.0
919,1,38.0,12,45,9,24,20.0,20.67,13.51,21.0,16,129,13,33,87,5,16,34,S,1,47.0,F,H,56969.0,S,133,55,77.0
920,1,10.0,1,1,1,1,15.0,15.0,15.0,15.0,20,20,8,14,13,3,6,5,F,0,23.0,M,U,46002.0,Others,35,14,17.0
921,0,14.56,1,16,1,12,10.0,10.0,16.06,10.0,18,122,13,28,75,5,11,27,A,1,62.0,F,H,40708.0,A,116,43,27.0
922,0,14.56,3,10,1,5,10.0,11.33,9.0,12.0,19,93,13,33,63,6,15,24,S,1,51.0,F,H,40708.0,S,109,45,23.0
923,1,30.0,1,1,1,1,30.0,30.0,30.0,30.0,17,17,11,16,14,5,7,6,F,0,65.0,M,H,56250.0,Others,41,18,32.0
924,0,14.56,3,7,1,3,20.0,20.0,16.43,20.0,19,86,15,36,56,6,16,23,A,0,70.0,M,U,44284.5,A,107,45,30.0
925,0,14.56,2,2,1,1,20.0,12.5,12.5,20.0,20,28,10,22,21,4,9,8,A,0,27.0,M,U,44284.5,A,53,21,24.0
926,1,17.0,7,8,4,5,12.0,10.71,10.0,11.25,17,41,14,31,37,6,16,15,S,1,52.0,M,U,44284.5,S,82,37,27.0
927,1,26.0,1,5,0,2,26.0,26.0,16.0,13.582127875507437,16,76,11,28,46,5,5,18,A,0,27.0,F,H,38906.0,A,85,28,32.0
928,0,14.56,2,4,1,1,20.0,22.5,23.75,25.0,16,28,20,32,34,3,9,10,A,0,17.0,M,H,61132.0,A,86,22,26.0
929,1,20.0,5,26,4,16,7.0,8.4,9.58,9.25,22,124,13,32,77,6,16,31,S,1,84.0,M,H,68869.0,S,122,53,38.0
930,1,17.0,1,6,0,3,17.0,17.0,14.33,13.582127875507437,15,75,14,32,55,5,5,20,A,1,74.0,F,H,68869.0,A,101,30,24.0
931,1,4.0,7,8,4,4,4.0,4.14,4.0,4.0,21,32,11,27,27,6,14,12,A,1,37.0,M,U,68869.0,A,65,32,19.0
932,0,14.56,1,1,1,1,50.0,50.0,50.0,50.0,17,17,11,16,14,5,7,6,F,0,23.0,F,U,27793.0,Others,41,18,52.0
933,0,14.56,1,6,0,3,15.0,15.0,9.67,13.582127875507437,26,111,9,28,56,4,4,24,A,0,45.0,F,H,27793.0,A,93,32,22.0
934,0,14.56,4,4,2,2,10.0,8.75,8.75,7.5,16,27,14,27,24,6,12,10,A,1,35.0,F,U,44248.0,A,65,28,18.0
935,0,14.56,1,11,0,8,18.0,18.0,9.55,13.582127875507437,24,115,10,29,72,5,5,30,A,1,45.0,F,U,44284.5,A,111,40,30.0
936,1,20.0,2,2,1,1,20.0,15.0,15.0,10.0,18,33,10,25,23,4,10,9,A,0,65.0,M,H,32229.0,A,58,23,24.0
937,1,25.0,1,6,1,5,25.0,25.0,16.33,25.0,17,105,14,32,63,6,15,26,A,1,40.0,M,H,32229.0,A,109,47,32.0
938,0,14.56,8,24,6,11,5.0,7.5,5.96,7.17,18,57,13,33,54,6,16,21,S,1,41.0,F,H,40290.0,S,100,43,37.0
939,0,14.56,4,40,3,16,11.0,10.75,9.6,11.0,21,130,17,36,104,7,18,36,S,1,80.0,F,H,40290.0,S,157,61,55.0
940,1,13.0,5,21,2,13,10.0,14.4,11.19,10.0,21,128,13,32,78,6,16,32,S,1,71.0,F,H,47750.0,S,123,54,36.0
941,0,14.56,8,10,3,5,10.0,8.0,7.2,8.33,16,52,14,35,41,6,16,16,A,1,52.0,M,H,60584.0,A,90,38,28.0
942,1,15.0,2,7,1,4,10.0,15.0,7.86,20.0,16,77,13,28,48,5,11,17,A,0,43.0,F,U,60584.0,A,89,33,19.0
943,0,14.56,1,3,0,1,20.0,20.0,10.0,13.582127875507437,26,81,10,21,29,4,4,11,A,0,55.0,M,H,40032.0,A,60,19,24.0
944,1,12.0,10,30,5,11,12.0,10.0,9.73,10.0,4,87,27,48,83,11,21,31,A,1,79.0,M,U,40032.0,A,158,63,52.0
945,1,10.0,4,13,2,6,4.0,12.0,10.15,12.0,18,122,16,37,73,6,16,29,S,1,80.0,M,H,43600.0,S,126,51,21.0
946,0,14.56,11,34,8,16,2.0,1.55,1.5,1.75,16,105,11,27,55,6,16,26,S,1,87.0,M,U,44284.5,S,93,48,47.0
947,0,14.56,3,6,1,2,20.0,17.33,12.67,18.0,18,53,13,34,44,6,16,18,A,0,51.0,F,H,55378.0,A,91,40,29.0
948,1,25.0,2,8,2,4,20.0,15.0,9.25,15.0,16,68,14,31,54,6,14,19,A,0,27.0,F,H,59874.0,A,99,39,30.0
949,1,5.0,7,8,4,4,5.0,4.43,4.25,4.5,17,29,12,25,25,6,12,10,A,1,73.0,F,H,59874.0,A,62,28,20.0
950,0,14.56,5,6,3,4,15.0,11.8,10.83,10.67,20,42,12,31,34,6,15,14,A,0,69.0,F,H,72385.0,A,77,35,26.0
951,0,14.56,3,32,3,17,15.0,10.33,6.91,10.33,21,124,13,31,78,6,16,32,A,1,68.0,F,U,44284.5,A,122,54,50.0
952,1,20.0,2,10,1,4,16.0,16.0,13.7,16.0,25,65,11,32,54,6,16,22,A,0,67.0,M,H,91874.0,A,97,44,28.0
953,1,8.0,5,8,3,4,10.0,8.8,7.75,8.67,17,41,14,35,40,6,16,15,A,1,39.0,F,U,103549.0,A,89,37,23.0
954,0,14.56,2,9,0,2,30.0,27.5,23.33,13.582127875507437,15,112,13,33,61,6,6,28,A,0,52.0,M,H,40723.0,A,107,40,41.0
955,0,14.56,1,16,0,8,10.0,10.0,8.13,13.582127875507437,26,130,9,26,66,4,4,27,A,1,76.0,M,U,44284.5,A,101,35,27.0
956,0,14.56,11,17,7,11,20.0,30.27,29.0,31.0,15,57,31,51,79,6,17,22,A,1,63.0,M,H,40208.0,A,161,45,48.0
957,1,4.0,6,7,4,4,4.0,4.17,4.14,4.0,18,33,11,28,26,6,14,12,A,1,73.0,F,H,41999.0,A,65,32,17.0
958,0,14.56,4,5,2,3,15.0,11.25,9.6,12.5,15,41,12,30,31,5,13,13,A,0,38.0,M,H,41999.0,A,73,31,24.0
959,1,4.0,10,26,5,13,4.0,4.6,4.11,4.0,15,124,11,33,73,6,17,31,S,1,64.0,M,H,46332.0,S,117,54,40.0
960,0,14.56,4,4,3,3,10.0,7.5,7.5,6.67,18,29,13,26,24,6,12,10,A,1,69.0,F,H,36364.0,A,63,28,18.0
961,0,14.56,4,6,3,4,12.0,10.75,9.17,11.33,21,45,12,28,33,6,14,14,A,1,59.0,M,H,70410.0,A,73,34,22.0
962,1,5.0,3,14,1,6,10.0,14.0,9.69,14.0,18,111,13,34,66,6,16,27,A,0,41.0,F,H,49518.0,A,113,49,27.0
963,0,14.56,2,6,2,4,15.0,13.5,10.5,13.5,23,52,12,22,27,5,10,12,A,0,81.0,M,H,76873.0,A,61,27,23.0
964,1,10.0,2,2,1,1,25.0,22.5,22.5,20.0,26,33,11,29,27,5,13,11,A,0,46.0,F,H,76873.0,A,67,29,29.0
965,0,14.56,6,18,4,10,10.0,8.83,7.22,8.25,20,80,13,32,63,6,16,24,S,1,58.0,F,H,76873.0,S,108,46,34.0
966,1,15.0,3,7,3,7,15.0,15.0,13.71,15.0,20,92,13,34,62,6,16,24,A,1,75.0,M,H,38794.0,A,109,46,25.0
967,1,20.0,4,5,2,2,10.0,12.5,11.0,15.0,20,40,12,32,34,6,15,14,A,0,52.0,F,U,61343.0,A,78,35,19.0
968,0,14.56,1,4,0,2,30.0,30.0,14.75,13.582127875507437,26,83,5,17,27,2,2,8,A,0,72.0,F,U,44284.5,A,49,12,35.0
969,0,14.56,1,1,0,0,50.0,50.0,50.0,13.582127875507437,16,16,12,17,14,5,5,6,F,0,63.0,F,H,71392.0,Others,43,16,52.0
970,0,14.56,3,10,2,7,13.0,12.33,8.4,12.0,18,105,15,34,63,6,15,27,A,1,75.0,F,H,71392.0,A,112,48,26.0
971,0,14.56,4,6,2,4,12.0,11.0,9.33,11.0,18,44,9,22,27,4,10,10,A,1,27.0,M,H,71392.0,A,58,24,22.0
972,0,14.56,7,9,5,6,10.0,8.14,7.44,8.4,17,41,16,35,39,6,15,14,A,1,52.0,M,H,68219.0,A,90,35,26.0
973,1,20.0,7,24,5,9,15.0,13.14,11.46,14.0,17,110,30,48,98,6,17,33,S,1,78.0,M,H,42295.0,S,176,56,46.0
974,0,14.56,2,2,2,2,25.0,25.0,25.0,25.0,17,24,13,23,21,6,11,9,N,0,57.0,F,H,42295.0,Others,57,26,29.0
975,1,75.0,1,1,1,1,50.0,50.0,50.0,50.0,24,24,11,22,20,6,11,9,N,0,67.0,M,U,52974.0,Others,53,26,52.0
976,1,10.0,4,15,3,10,11.0,10.75,9.0,10.67,4,68,10,18,33,4,8,14,E,1,75.0,M,U,59226.0,Others,61,26,30.0
977,1,25.0,3,12,3,9,20.0,18.0,11.67,18.0,25,130,11,31,62,6,17,30,A,1,87.0,F,H,42429.0,A,104,53,35.0
978,1,25.0,2,9,0,3,20.0,20.0,17.89,13.582127875507437,15,81,13,34,62,6,6,23,A,1,81.0,F,U,44284.5,A,109,35,31.0
979,1,23.0,2,9,0,1,15.0,19.0,15.0,13.582127875507437,17,68,13,32,54,6,6,21,A,0,51.0,F,H,40925.0,A,99,33,26.0
980,0,14.56,1,7,0,3,20.0,20.0,13.86,13.582127875507437,18,85,13,32,59,6,6,23,A,0,37.0,M,H,51926.0,A,104,35,28.0
981,1,24.0,4,19,2,9,24.0,24.5,17.89,24.5,16,106,4,12,40,2,6,19,E,0,52.0,F,U,44284.5,Others,56,27,47.0
982,1,5.0,1,1,1,1,16.0,16.0,16.0,16.0,18,18,10,15,12,4,6,5,F,0,52.0,F,U,44284.5,Others,37,15,18.0
983,0,14.56,1,3,0,2,15.0,15.0,10.33,13.582127875507437,22,67,10,17,22,4,4,9,A,0,38.0,M,H,63202.0,A,49,17,19.0
984,0,14.56,4,14,3,8,8.0,8.25,6.71,7.67,21,76,10,29,53,5,15,21,A,1,51.0,F,U,44284.5,A,92,41,26.0
985,0,14.56,2,3,1,1,25.0,17.5,13.33,10.0,18,40,13,31,32,6,14,13,A,0,45.0,M,H,35446.0,A,76,33,30.0
986,0,14.56,4,5,3,3,6.25,6.25,7.0,6.25,19,32,14,28,27,6,12,10,A,0,52.0,F,U,35446.0,A,69,28,15.25
987,0,14.56,2,12,0,4,25.0,25.0,13.33,13.582127875507437,18,68,13,35,56,6,6,23,S,1,79.0,M,H,35446.0,S,104,35,39.0
988,1,25.0,3,15,1,9,25.0,35.0,15.2,30.0,18,124,13,35,78,6,17,33,S,1,42.0,F,H,36946.0,S,126,56,43.0
989,0,14.56,6,26,4,11,14.0,14.33,11.77,14.5,5,75,31,50,90,7,18,26,S,1,52.0,M,U,44284.5,S,171,51,46.0
990,0,14.56,9,22,5,10,5.0,4.78,4.64,4.4,15,88,15,37,62,6,17,26,A,1,54.0,F,H,36946.0,A,114,49,36.0
991,1,10.0,2,13,1,7,10.0,11.0,9.54,10.0,18,105,13,33,69,6,15,25,S,1,86.0,F,H,44404.0,S,115,46,25.0
992,0,14.56,2,7,0,2,35.0,30.0,15.86,13.582127875507437,17,75,15,37,59,6,6,23,A,0,71.0,F,U,44284.5,A,111,35,44.0
993,1,15.0,3,8,1,3,16.0,14.67,10.0,16.0,17,65,13,27,46,6,12,16,A,0,73.0,F,H,43310.0,A,86,34,27.0
994,1,21.0,3,5,2,3,15.0,15.33,12.4,15.5,26,41,10,32,35,5,16,15,A,1,28.0,F,U,44284.5,A,77,36,23.0
995,1,20.0,6,12,5,8,15.0,14.0,12.33,13.8,19,53,13,33,47,6,17,19,S,1,43.0,M,U,43310.0,S,93,42,33.0
996,1,5.0,4,18,1,13,8.0,7.75,6.06,6.0,15,127,9,24,57,4,10,23,S,1,76.0,M,H,43310.0,S,90,37,30.0
997,0,14.56,2,15,1,6,25.0,22.5,11.13,25.0,17,80,15,37,67,6,17,27,A,1,60.0,M,U,44284.5,A,119,50,42.0
998,0,14.56,2,4,2,2,25.0,260.0,138.75,260.0,5,29,39,53,52,6,13,11,A,0,52.0,F,U,44284.5,A,144,30,31.0
999,1,10.0,3,6,2,5,10.0,10.0,8.33,10.0,21,43,6,14,18,2,6,8,E,0,52.0,M,U,44284.5,Others,38,16,19.0
1000,0,14.56,4,20,1,10,6.0,6.5,5.2,6.0,21,128,10,31,71,5,15,31,A,1,72.0,M,H,64434.0,A,112,51,30.0
1001,1,6.0,4,8,3,7,10.0,6.25,5.38,6.67,16,53,14,33,44,6,14,17,S,1,36.0,M,H,64434.0,S,91,37,22.0
1002,0,14.56,3,8,0,2,7.0,8.0,6.38,13.582127875507437,15,74,12,31,45,6,6,17,A,0,84.0,F,H,64434.0,A,88,29,18.0
1003,1,10.0,2,11,1,5,17.0,17.0,11.55,17.0,19,113,15,30,65,6,13,25,A,0,74.0,M,H,69558.0,A,110,44,30.0
1004,1,5.0,8,26,6,12,24.0,7.38,6.27,5.0,18,68,14,34,59,6,17,22,S,1,58.0,M,H,69558.0,S,107,45,58.0
1005,1,21.0,2,6,0,2,15.0,15.0,12.33,13.582127875507437,15,70,12,32,53,5,5,20,A,0,82.0,F,U,79524.0,A,97,30,23.0
1006,0,14.56,1,1,1,1,20.0,20.0,20.0,20.0,17,17,10,15,13,4,6,5,F,0,67.0,M,H,79524.0,Others,38,15,22.0
1007,1,17.0,6,7,1,1,15.0,12.17,10.86,17.0,18,38,14,34,35,6,15,13,S,1,56.0,F,U,76025.0,S,83,34,28.0
1008,0,14.56,4,6,1,2,15.0,9.25,7.5,6.0,20,40,12,31,35,6,16,15,A,0,49.0,M,H,76025.0,A,78,37,25.0
1009,0,14.56,0,11,0,4,25.0,0.0,17.18,13.582127875507437,14,67,36,36,83,5,5,20,A,1,73.0,M,H,44284.5,A,155,30,36.0
1010,1,20.0,6,20,4,11,24.0,19.0,12.5,19.75,22,124,13,35,65,6,17,30,S,1,65.0,F,H,44284.5,S,113,53,50.0
1011,0,14.56,2,11,0,7,21.0,19.0,11.75,13.582127875507437,25,118,11,32,70,6,6,32,A,1,79.0,F,H,55882.0,A,113,44,34.0
1012,0,14.56,1,7,0,4,6.0,15.0,11.29,13.582127875507437,16,79,13,32,53,6,6,21,A,1,78.0,M,H,55882.0,A,98,33,14.0
1013,1,20.0,6,13,4,8,20.0,19.67,19.31,20.75,7,64,27,49,85,11,22,31,A,1,52.0,M,H,55882.0,A,161,64,39.0
1014,1,20.0,1,9,0,5,20.0,20.0,11.0,13.582127875507437,18,69,13,32,51,6,6,20,A,1,61.0,M,H,55882.0,A,96,32,30.0
1015,1,15.0,2,7,1,4,15.0,13.0,10.43,11.0,20,87,14,31,42,4,11,15,A,0,68.0,M,U,44284.5,A,87,30,24.0
1016,0,14.56,2,5,1,3,55.0,52.5,39.0,50.0,18,76,8,25,41,4,13,18,A,0,52.0,F,U,33583.0,A,74,35,62.0
1017,0,14.56,4,4,3,3,15.0,12.5,12.5,11.67,17,24,13,23,23,6,11,9,N,1,85.0,M,U,44284.5,Others,59,26,23.0
1018,0,14.56,4,7,2,3,5.0,7.5,6.14,7.5,18,41,13,31,35,6,14,14,A,1,72.0,M,U,33581.0,A,79,34,16.0
1019,0,14.56,6,19,6,12,15.0,8.0,7.63,8.0,18,93,14,32,65,6,17,25,S,1,70.0,F,H,33581.0,S,111,48,40.0
1020,0,14.56,1,1,1,1,20.0,20.0,20.0,20.0,17,17,10,15,13,4,6,5,F,0,52.0,F,H,64275.0,Others,38,15,22.0
1021,0,14.56,7,25,4,10,10.0,10.57,9.08,10.5,18,74,28,49,80,6,17,25,S,1,52.0,F,U,44284.5,S,157,48,42.0
1022,1,20.0,2,12,1,4,20.0,20.0,14.75,20.0,23,69,12,33,59,6,16,22,S,1,75.0,M,U,79249.0,S,104,44,34.0
1023,0,14.56,4,6,2,3,50.0,50.0,50.0,50.0,25,57,13,35,51,6,17,21,A,0,77.0,F,H,79249.0,A,99,44,60.0
1024,1,10.0,6,12,3,6,11.0,9.67,7.17,11.0,16,115,11,25,43,5,11,15,A,1,79.0,F,U,44789.0,A,79,31,29.0
1025,1,17.0,3,6,2,5,20.0,16.67,13.67,17.5,17,51,13,34,45,6,16,18,A,1,52.0,F,U,44284.5,A,92,40,29.0
1026,1,25.0,1,1,0,0,15.0,15.0,15.0,13.582127875507437,15,15,7,9,9,2,2,3,E,0,73.0,F,U,52299.0,Others,25,7,17.0
1027,1,10.0,2,8,2,4,20.0,15.0,13.75,15.0,6,81,27,42,76,6,13,20,A,0,47.0,M,H,52299.0,A,145,39,30.0
1028,0,14.56,1,9,0,5,25.0,25.0,11.44,13.582127875507437,18,122,13,29,62,6,6,27,A,1,59.0,F,H,52299.0,A,104,39,35.0
1029,0,14.56,3,5,2,4,30.0,20.33,18.2,15.5,26,41,13,35,38,5,16,15,A,0,52.0,F,U,44284.5,A,86,36,38.0
1030,0,14.56,1,3,0,1,25.0,25.0,21.67,13.582127875507437,18,52,13,27,37,6,6,16,A,0,56.0,M,H,48226.0,A,77,28,29.0
1031,1,5.0,3,17,2,7,5.0,9.67,6.59,8.5,17,130,12,31,72,6,15,29,A,1,50.0,M,H,48226.0,A,115,50,25.0
1032,0,14.56,2,4,1,1,13.0,14.0,11.0,13.0,17,39,13,32,32,6,14,13,A,0,52.0,M,U,44284.5,A,77,33,19.0
1033,1,30.0,1,5,0,3,30.0,30.0,28.0,13.582127875507437,17,93,15,28,56,6,6,21,A,0,52.0,F,U,44284.5,A,99,33,36.0
1034,1,10.0,3,14,1,10,10.0,9.0,7.21,10.0,18,120,15,34,68,6,14,28,S,1,71.0,F,H,66256.0,S,117,48,27.0
1035,1,5.0,3,24,0,10,11.0,9.67,7.08,13.582127875507437,19,110,10,25,64,4,4,24,S,1,75.0,F,U,66256.0,S,99,32,38.0
1036,0,14.56,1,3,0,1,15.0,15.0,10.33,13.582127875507437,18,52,10,24,32,4,4,11,A,0,53.0,F,H,66256.0,A,66,19,19.0
1037,0,14.56,3,18,1,10,10.0,7.33,11.78,10.0,16,123,14,33,80,5,13,31,S,1,52.0,M,H,66256.0,S,127,49,31.0
1038,1,20.0,2,9,1,6,20.0,20.0,11.44,20.0,18,125,13,35,63,6,17,29,A,0,32.0,M,U,44284.5,A,111,52,31.0
1039,1,15.0,2,2,2,2,15.0,15.0,15.0,15.0,21,28,11,22,23,4,10,9,A,0,52.0,M,U,44284.5,A,56,23,19.0
1040,0,14.56,5,5,2,2,10.0,7.6,7.6,6.5,16,29,13,26,24,6,12,10,A,0,52.0,M,H,32547.0,A,63,28,20.0
1041,0,14.56,1,8,1,4,15.0,15.0,8.38,15.0,17,113,7,15,31,2,6,12,A,1,76.0,M,H,56069.0,A,53,20,24.0
1042,1,12.0,2,11,0,6,12.0,11.0,9.82,13.582127875507437,20,102,13,33,64,6,6,26,A,1,75.0,F,U,44284.5,A,110,38,25.0
